交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2019-08-23 21:12:44,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000383201908236397768049	,MBK0292019082321124410211183	,"/"
2019-08-23 20:14:02,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000389201908232236789290	,MBK0292019082320140276425095	,"/"
2019-08-23 20:10:46,商户消费,渝坊小厨西安西斜路店,"靓茶西北大店",支出,¥12.00,零钱,支付成功,4200000388201908232549420749	,7895233533726501	,"/"
2019-08-23 17:58:37,商户消费,滴滴出行,"滴滴快车-吴师傅",支出,¥13.85,零钱,支付成功,4200000395201908237342725847	,210_201908236395445301864268	,"/"
2019-08-23 17:45:21,商户消费,滴滴出行,"滴滴快车-孙师傅",支出,¥16.41,零钱,支付成功,4200000388201908237885683595	,210_201908236395431901596651	,"/"
2019-08-23 12:00:13,商户消费,美团点评平台商户,"美团订单-19082310100000000009402286901807",支出,¥18.90,零钱,支付成功,4200000352201908232657236682	,19082310100000000009402286901807	,"/"
2019-08-22 22:15:37,商户消费,特优利便利店,"特优利便利店订单号：1908220100303057480校验码:8572",支出,¥11.50,零钱,支付成功,4200000383201908225072330379	,0001062461419234	,"/"
2019-08-22 13:07:00,微信红包,📜,"/",收入,¥15.00,/,已存入零钱,1000039501000908226008169625917	,1000039501201908226008169625917	,"/"
2019-08-20 20:47:08,扫二维码付款,A 吴桂霞~绿叶招商热线17795789781,"收款方备注:二维码收款",支出,¥3.00,零钱,支付成功,100004990119082000073133935615693352	,10000499012019082000147717079365	,"/"
2019-08-20 20:46:38,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000398201908203737135891	,MBK0292019082020463785891915	,"/"
2019-08-20 20:09:41,商户消费,渝坊小厨西安西斜路店,"靓茶西北大店",支出,¥12.00,零钱,支付成功,4200000382201908203639750947	,7895233284720699	,"/"
2019-08-20 16:26:21,商户消费,面包码头绿园店,"(确认码：9981)",支出,¥17.80,零钱,支付成功,4200000379201908205054549891	,341581371908206906274866670592	,"/"
2019-08-20 16:02:56,微信红包（单发）,宁杰,"/",支出,¥18.00,零钱,支付成功,100003940119082000073133930700676352	,1000039401201908206012465421702	,"/"
2019-08-20 14:07:40,扫二维码付款,钻石眼泪,"收款方备注:二维码收款",支出,¥15.00,零钱,支付成功,100004990119082000073133738726522352	,10000499012019082000092787175332	,"/"
2019-08-20 12:07:13,转账,亮莊°💋精灵。,"转账备注:微信转账",支出,¥1800.00,零钱,支付成功,100005010119082000073134103736774352	,1000050101201908201600734215845	,"/"
2019-08-20 11:33:15,零钱提现,工商银行(9635),"/",/,¥9009.00,工商银行(9635),提现已到账,207190820100073132198969358352	,/	,"服务费¥9.00"
2019-08-20 11:26:31,零钱提现,工商银行(9635),"/",/,¥9009.00,工商银行(9635),提现已到账,207190820100073132198960468352	,/	,"服务费¥9.00"
2019-08-20 11:25:27,转账,妈妈,"转账备注:微信转账",收入,¥20000.00,/,已存入零钱,1000050101201908201000751671222	,/	,"/"
2019-08-19 23:01:50,商户消费,蜜雪冰城,"窝窝支付_蜜雪冰城（905619店）_2834",支出,¥5.00,零钱,支付成功,4200000396201908195641191550	,W19081923013056128340000	,"/"
2019-08-19 20:08:25,商户消费,西安唐久便利连锁有限公司,"山西省太原唐久超市有限公司-消费",支出,¥10.00,零钱,支付成功,4200000392201908193088748978	,01181190819200820	,"/"
2019-08-19 19:24:57,商户消费,一品醉麻辣,"一品醉麻辣-兴善寺店",支出,¥89.00,工商银行(9635),支付成功,4200000341201908198103069985	,600001201908191090688782564142	,"/"
2019-08-19 17:32:45,商户消费,百信生活超市,"百信生活超市-新华街店",支出,¥5.00,零钱,支付成功,4200000353201908196502669549	,600000201908194151257416453327	,"/"
2019-08-19 13:49:24,扫二维码付款,千寻,"收款方备注:二维码收款",支出,¥17.60,零钱,支付成功,100004990119081900073134189912396352	,10000499012019081900065358812221	,"/"
2019-08-19 13:33:44,商户消费,蜜雪冰城,"窝窝支付_蜜雪冰城(902701店)_7403",支出,¥4.00,零钱,支付成功,4200000380201908190624158544	,W19081913333023174030000	,"/"
2019-08-19 09:31:26,商户消费,小米科技有限责任公司,"小米科技5190819467502194号订单",支出,¥249.00,零钱,支付成功,4200000376201908194376668933	,20011000519081946750219437	,"/"
2019-08-19 08:45:08,扫二维码付款,文鑫商店,"收款方备注:二维码收款",支出,¥3.00,零钱,支付成功,100004990119081900073133718651206352	,10000499012019081900034816247365	,"/"
2019-08-19 08:43:52,商户消费,摩拜单车,"车费代扣",支出,¥2.00,零钱,支付成功,4200000372201908198490614652	,MBK0292019081908435267187701	,"/"
2019-08-19 08:20:49,商户消费,西木香酥牛肉饼,"小微API入驻专属类目",支出,¥4.00,零钱,支付成功,4200000345201908190654750318	,PWGJMJ-0LRN587-0OB2	,"/"
2019-08-19 07:53:23,商户消费,特优利便利店,"特优利便利店订单号：1908190100300326750校验码:5232",支出,¥3.00,零钱,支付成功,4200000394201908198983153621	,0000244361419231	,"/"
2019-08-18 22:14:16,商户消费,西安唐久便利连锁有限公司,"山西省太原唐久超市有限公司-消费",支出,¥42.90,零钱,支付成功,4200000395201908187654501041	,02081190818221409	,"/"
2019-08-18 21:58:12,商户消费,特优利便利店,"特优利便利店订单号：1908180100303085900校验码:6559",支出,¥5.00,零钱,支付成功,4200000396201908181916911585	,0001609961419230	,"/"
2019-08-18 13:12:01,商户消费,华润万家生活超市有限公司,"条码支付-新华都",支出,¥64.55,零钱,支付成功,4200000378201908183004358691	,Y10H1908180025009301020100	,"/"
2019-08-18 12:48:21,商户消费,摩拜单车,"车费代扣",支出,¥1.50,零钱,支付成功,4200000376201908185486378285	,MBK0292019081812482198515738	,"/"
2019-08-17 13:29:49,扫二维码付款,淡定,"收款方备注:二维码收款",支出,¥50.00,零钱,支付成功,100004990119081700073134158741792352	,10000499012019081700071248799398	,"/"
2019-08-16 19:08:35,商户消费,摩拜单车,"车费代扣",支出,¥1.00,零钱,支付成功,4200000398201908164897591877	,MBK0292019081619083548831333	,"/"
